Date,Total Users,Total new users,Published datasets (metastore),Published datasets (DB),Unlisted datasets,Unlisted datasets (extracting our datasets),Private datasets,Private datasets(extracting our datasets),Total datasets,Number of pushes,Number of pushes (excluding us),Speed of a 1Mb of packaged dataset push (in seconds),Speed of a 5kb of packaged dataset push (in seconds),Clicks on download link (csv + json + zip),cli-macos,cli-linux,cli-windows,data-desktop,Total downloads,Download page (unique pageviews),sign-in-pricing-page,sign-up-pricing-page,contact-us-pricing-page,Pricing page (unique pageviews),Site Traffic,Data stored (Published),Data growth,Total number of data requests,Comment
2018-04-06,717,15,333,440,813,125,23,1,1276,61,48,40.94,27.35,380,2,0,6,0,8,30,0,0,0,23,1042,12671798461,"177,086",3,
2018-04-09,730,13,333,440,816,126,23,1,1279,16,11,39.1,29.49,778,2,1,14,0,17,43,1,0,0,36,1111,12671812615,"14,154",0,
2018-04-10,743,13,333,440,831,135,23,1,1294,497,491,40.33,31.9,2273,3,7,8,1,19,32,0,0,0,26,1301,12671823755,"11,140",2,
2018-04-11,747,4,333,440,833,141,23,1,1296,46,41,41.71,29.14,1852,1,1,13,0,15,35,0,0,0,19,1189,12671828684,"4,929",0,
2018-04-12,758,11,333,440,837,136,23,1,1300,124,118,38.02,32.7,2083,0,0,8,1,9,40,0,0,0,29,1164,12671832444,"3,760",4,
2018-04-13,772,14,334,441,855,138,22,0,1318,46,14,44,29.86,1872,1,3,7,1,12,32,0,0,0,27,1035,12672089681,"257,237",2,
2018-04-16,779,7,334,441,861,140,22,0,1324,108,99,45.66,28.54,2345,1,0,9,0,10,31,0,1,0,36,1297,12672106611,"16,930",2,
2018-04-17,787,8,336,443,866,142,22,0,1331,23,17,44.35,32.19,2528,0,2,15,1,18,35,0,0,1,33,1434,12731956306,"59,849,695",0,
2018-04-18,791,4,337,444,867,141,22,0,1333,802,9,67.71,52.99,2264,0,2,4,0,6,49,1,0,1,29,1273,12748347625,"16,391,319",2,
2018-04-19,795,4,338,445,874,142,24,0,1343,940,134,76.61,42.33,2382,3,0,9,0,12,33,0,0,0,16,1232,12750312469,"1,964,844",2,"Number of pushes is very high, because some of our developers pushed dataset with schedule param"
2018-04-20,807,12,338,445,890,152,25,0,1360,77,68,44.14,31.68,1947,1,1,11,0,13,33,0,1,0,25,1037,12750349619,"37,150",4,
2018-04-23,811,4,337,444,895,152,25,0,1364,22,8,42.07,29.92,2441,1,1,7,0,9,35,0,0,0,29,1272,12750289103,"-60,516",2,
2018-04-24,821,10,337,444,899,153,25,0,1368,28,17,46.21,31.84,2640,2,3,7,0,12,33,0,0,0,19,1287,12756309386,"6,020,283",2,
2018-05-01,854,33,344,451,899,146,26,2,1376,11,9,45.34,31.21,684,0,0,2,2,4,5,1,0,0,8,870,12761251806,"4,942,420",1,
2018-05-02,865,11,344,451,899,146,26,2,1376,13,10,45.56,33.56,273,4,3,1,0,8,34,1,0,0,22,1164,12761279387,"27,581",2,
2018-05-03,870,5,344,451,902,149,26,2,1379,19,16,43.07,30.05,317,1,2,6,0,9,28,0,0,0,23,1136,12761282066,"2,679",4,
